SPICEJET FLIGHTS SCHEDULE|||||||||
Direct & Via Flights|||||||||
All timings are shown in Local timings|||||||||
Schedule subject to change and regulatory authority approvals|||||||||
ORIGIN|DESTINATION|FREQUENCY|FLIGHT NO|DEPARTURE|ARRIVAL|VIA|EFFECTIVE FROM|EFFECTIVE TILL|REMARKS
DELHI|BENGALURU|MONDAY, THURSDAY, SATURDAY, SUNDAY|SG  149|01:00 AM|03:40 AM|-|24 MAY 16|29 OCT 16|
DELHI|BENGALURU|DAILY|SG  143|08:20 PM|10:55 PM|-|16 AUG 16|29 OCT 16|
DELHI|BENGALURU|DAILY|SG  191|06:10 AM|08:45 AM|-|02 SEP 16|29 OCT 16|
DELHI|BENGALURU|DAILY|SG  197|04:45 PM|07:30 PM|-|01 OCT 16|29 OCT 16|
DELHI|BENGALURU|MONDAY, THURSDAY, SATURDAY, SUNDAY|SG  149|01:00 AM|03:40 AM|-|30 OCT 16|25 MAR 17|
DELHI|BENGALURU|DAILY|SG  137|06:05 AM|08:45 AM|-|30 OCT 16|25 MAR 17|
DELHI|BENGALURU|DAILY|SG  139|04:45 PM|07:25 PM|-|30 OCT 16|25 MAR 17|
DELHI|BENGALURU|DAILY|SG  141|08:20 PM|11:00 PM|-|30 OCT 16|25 MAR 17|
DELHI|CHENNAI|DAILY|SG  107|06:55 AM|09:45 AM|-|05 AUG 16|29 OCT 16|
DELHI|CHENNAI|DAILY|SG  103|02:20 PM|05:00 PM|-|01 OCT 16|29 OCT 16|
DELHI|CHENNAI|MONDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY|SG  109|06:00 PM|08:50 PM|-|01 OCT 16|29 OCT 16|
DELHI|CHENNAI|TUESDAY|SG  109|09:20 PM|12:10 AM|-|01 OCT 16|29 OCT 16|
DELHI|CHENNAI|DAILY|SG  101|06:55 AM|09:40 AM|-|30 OCT 16|25 MAR 17|
DELHI|CHENNAI|DAILY|SG  103|02:20 PM|05:00 PM|-|30 OCT 16|25 MAR 17|
DELHI|CHENNAI|MONDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY|SG  109|06:00 PM|08:50 PM|-|30 OCT 16|25 MAR 17|
DELHI|CHENNAI|TUESDAY|SG  109|09:20 PM|12:05 AM|-|30 OCT 16|25 MAR 17|
DELHI|HYDERABAD|DAILY|SG  125|06:50 PM|09:00 PM|-|01 SEP 16|29 OCT 16|
DELHI|HYDERABAD|DAILY|SG  123|06:00 AM|08:10 AM|-|01 OCT 16|29 OCT 16|
DELHI|HYDERABAD|DAILY|SG  123|06:00 AM|08:10 AM|-|30 OCT 16|25 MAR 17|
DELHI|HYDERABAD|DAILY|SG  131|06:50 PM|09:00 PM|-|30 OCT 16|25 MAR 17|
DELHI|KOLKATA|DAILY|SG  251|09:15 AM|11:25 AM|-|17 JUL 16|29 OCT 16|
DELHI|KOLKATA|DAILY|SG  263|05:55 AM|08:05 AM|-|11 AUG 16|29 OCT 16|
DELHI|KOLKATA|MONDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY|SG  253|07:20 PM|09:25 PM|-|01 OCT 16|29 OCT 16|
DELHI|KOLKATA|DAILY|SG 8721|08:10 PM|10:25 PM|-|01 OCT 16|15 OCT 16|
DELHI|KOLKATA|TUESDAY|SG  253|09:00 PM|11:05 PM|-|01 OCT 16|29 OCT 16|
DELHI|KOLKATA|DAILY|SG  263|05:55 AM|08:05 AM|-|30 OCT 16|16 FEB 17|
DELHI|KOLKATA|DAILY|SG  251|09:15 AM|11:25 AM|-|30 OCT 16|25 MAR 17|
DELHI|KOLKATA|MONDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY, SUNDAY|SG  253|06:45 PM|08:50 PM|-|30 OCT 16|25 MAR 17|
DELHI|KOLKATA|TUESDAY|SG  253|08:30 PM|10:35 PM|-|30 OCT 16|25 MAR 17|
MUMBAI|BENGALURU|DAILY|SG  435|08:10 AM|09:50 AM|-|27 MAR 16|29 OCT 16|
MUMBAI|BENGALURU|DAILY|SG  415|06:05 PM|07:45 PM|-|01 OCT 16|29 OCT 16|
MUMBAI|BENGALURU|DAILY|SG  413|08:10 AM|09:45 AM|-|30 OCT 16|25 MAR 17|
MUMBAI|BENGALURU|DAILY|SG  415|06:05 PM|07:45 PM|-|30 OCT 16|25 MAR 17|
MUMBAI|CHENNAI|DAILY|SG  613|10:15 PM|12:10 AM|-|27 MAR 16|29 OCT 16|
MUMBAI|CHENNAI|DAILY|SG  611|07:20 AM|09:20 AM|-|01 OCT 16|29 OCT 16|
MUMBAI|CHENNAI|DAILY|SG  611|07:20 AM|09:15 AM|-|30 OCT 16|25 MAR 17|
MUMBAI|CHENNAI|DAILY|SG  613|10:15 PM|12:10 AM|-|30 OCT 16|25 MAR 17|
MUMBAI|HYDERABAD|DAILY|SG  703|10:25 PM|11:40 PM|-|31 JUL 16|29 OCT 16|
MUMBAI|HYDERABAD|DAILY|SG  421|05:25 AM|06:40 AM|-|27 AUG 16|29 OCT 16|
MUMBAI|HYDERABAD|DAILY|SG  467|03:55 PM|05:15 PM|-|02 SEP 16|29 OCT 16|
MUMBAI|HYDERABAD|DAILY|SG  421|05:20 AM|06:40 AM|-|30 OCT 16|25 MAR 17|
MUMBAI|HYDERABAD|DAILY|SG  423|03:55 PM|05:15 PM|-|30 OCT 16|30 OCT 16|
MUMBAI|HYDERABAD|DAILY|SG  703|09:35 PM|10:50 PM|-|30 OCT 16|25 MAR 17|
MUMBAI|HYDERABAD|TUESDAY, WEDNESDAY, FRIDAY, SATURDAY, SUNDAY|SG  423|03:55 PM|05:15 PM|-|31 OCT 16|28 NOV 16|
MUMBAI|KOLKATA|DAILY|SG  487|07:25 PM|10:10 PM|-|31 AUG 16|29 OCT 16|
MUMBAI|KOLKATA|DAILY|SG  487|07:00 PM|10:20 PM|-|30 OCT 16|25 MAR 17|
PUNE |BENGALURU|DAILY|SG  519|05:50 AM|07:15 AM|-|27 MAR 16|29 OCT 16|
PUNE |BENGALURU|MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SUNDAY|SG  517|03:50 PM|05:10 PM|-|19 SEP 16|29 OCT 16|
PUNE |BENGALURU|DAILY|SG  513|05:55 AM|07:15 AM|-|30 OCT 16|25 MAR 17|
PUNE |BENGALURU|MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SUNDAY|SG  517|04:35 PM|06:00 PM|-|30 OCT 16|25 MAR 17|
PUNE |CHENNAI|DAILY|SG  529|11:15 PM|12:55 AM|-|27 MAR 16|29 OCT 16|
PUNE |CHENNAI|MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SUNDAY|SG 1016|12:25 PM|03:30 PM|HYDERABAD|30 AUG 16|29 OCT 16|
PUNE |CHENNAI|DAILY|SG  529|10:25 PM|12:05 AM|-|30 OCT 16|25 MAR 17|
PUNE |HYDERABAD|MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SUNDAY|SG 1016|12:25 PM|01:45 PM|-|30 AUG 16|29 OCT 16|
PUNE |HYDERABAD|MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SUNDAY|SG 1016|12:25 PM|01:45 PM|-|30 OCT 16|25 MAR 17|
PUNE |KOLKATA|MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SUNDAY|SG  517|03:50 PM|08:35 PM|BENGALURU|19 SEP 16|29 OCT 16|
PUNE |KOLKATA|MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SUNDAY|SG  517|04:35 PM|09:00 PM|BENGALURU|30 OCT 16|25 MAR 17|
